震中	震源
平安信息	安否情報
平安	安否,無事
消息	安否情報
天谴	天罰
遇难者	(震災で)死亡した人
受灾	被災,罹災
名单	名簿
海啸	津波
级	マグニチュード
上修	上方修正
电力供应	電力供給
号召	呼び掛け
失踪者	行方不明者
失踪	行方不明
核辐射	放射能
核电站	原子力発電所
泄漏	（放射能）漏れ
志愿者	ボランティア
灾区	被災地
媒体	メディア
捐款	募金
捐赠	(物資の)寄付
谣言	デマ
散布	(デマを)広める
倒塌	(家屋の)倒壊
节电	節電
计划停电	計画停電
撤离	脱出
工作人员	係員
名单	名簿
抢购	買い占め
碘	ヨウ素
直升机	ヘリコプター
核乏燃料	使用済み核燃料
核心熔毁	炉心融解
西弗	シーベルト
淡定	冷静(な,に)
抗震	耐震
工装	作業着
安全帽	ヘルメット
袭击	襲撃
氢气	水素
冲走	(津波に)さらわれる
爆炸	爆発
油罐	オイルタンク
下跌	(株価の)下落
搜救	捜索救出活動
切尔诺贝利	チェルノブイリ
地震预警系统	地震予知システム
日本东北大地震	東日本大地震
太平洋海域	太平洋沖
医疗救护所	医療救護所
经济舱症候群	エコノミークラス症候群
灾害用留言电话	災害用伝言ダイヤル
灾害用留言板	災害用伝言板
网上寻人	(Google) Person Finder
日本红十字会	日本赤十字
辐射线	放射線
α射线	α線
β射线	β線
γ射线	γ線
放射性同位素	放射性同位体
铯	セシウム
碘	ヨウ素
铀	ウラン
钚	プルトニウム
氢爆炸	水素爆発
废核燃料	使用済核燃料
